binary,name,va,size,type,bind,shndx
SLUS_204.69,zerobss,0x200008,0,NOTYPE,LOCAL,2
SLUS_204.69,_args,0x4dc880,0,NOTYPE,LOCAL,14
SLUS_204.69,_root,0x2000c0,8,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x2009a0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x2009a0,0,NOTYPE,LOCAL,2
SLUS_204.69,ttyinit,0x4aab30,4,OBJECT,LOCAL,5
SLUS_204.69,heap_ptr.30,0x4aab34,4,OBJECT,LOCAL,5
SLUS_204.69,gcc2_compiled.,0x200d70,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x200d70,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x200ff0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x200ff0,0,NOTYPE,LOCAL,2
SLUS_204.69,srcfile,0x4aab38,1856,OBJECT,LOCAL,5
SLUS_204.69,eenull,0x4ab278,40,OBJECT,LOCAL,5
SLUS_204.69,setup,0x201210,16,FUNC,LOCAL,2
SLUS_204.69,Copy,0x201220,16,FUNC,LOCAL,2
SLUS_204.69,kCopy,0x201230,56,FUNC,LOCAL,2
SLUS_204.69,SysEntry,0x4ab2a0,64,OBJECT,LOCAL,5
SLUS_204.69,GetEntryAddress,0x201268,16,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x201350,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x201350,0,NOTYPE,LOCAL,2
SLUS_204.69,topId,0x4ab2e0,4,OBJECT,LOCAL,5
SLUS_204.69,topThread,0x201350,216,FUNC,LOCAL,2
SLUS_204.69,topSema,0x994ef0,0,NOTYPE,LOCAL,14
SLUS_204.69,stack.6,0x994af0,0,NOTYPE,LOCAL,14
SLUS_204.69,topArg,0x994ef8,0,NOTYPE,LOCAL,14
SLUS_204.69,gcc2_compiled.,0x2016b0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x2016b0,0,NOTYPE,LOCAL,2
SLUS_204.69,userarea,0x996970,0,NOTYPE,LOCAL,14
SLUS_204.69,gcc2_compiled.,0x201890,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x201890,0,NOTYPE,LOCAL,2
SLUS_204.69,q.3,0x995300,0,NOTYPE,LOCAL,14
SLUS_204.69,QueueInit,0x201890,36,FUNC,LOCAL,2
SLUS_204.69,QueuePeekWriteDone,0x2018b8,60,FUNC,LOCAL,2
SLUS_204.69,QueuePeekReadDone,0x2018f8,60,FUNC,LOCAL,2
SLUS_204.69,sceTtyHandler,0x201938,404,FUNC,LOCAL,2
SLUS_204.69,tinfo,0x995410,0,NOTYPE,LOCAL,14
SLUS_204.69,wbuf,0x995440,0,NOTYPE,LOCAL,14
SLUS_204.69,rbuf,0x995580,0,NOTYPE,LOCAL,14
SLUS_204.69,gcc2_compiled.,0x201db0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x201db0,0,NOTYPE,LOCAL,2
SLUS_204.69,count,0x4ab2e4,4,OBJECT,LOCAL,5
SLUS_204.69,kputchar,0x201db0,56,FUNC,LOCAL,2
SLUS_204.69,deci2Putchar,0x201de8,176,FUNC,LOCAL,2
SLUS_204.69,linebuf,0x9956c0,0,NOTYPE,LOCAL,14
SLUS_204.69,serialPutchar,0x201e98,52,FUNC,LOCAL,2
SLUS_204.69,_putchar,0x4ab2e8,4,OBJECT,LOCAL,5
SLUS_204.69,ftoi,0x201ed0,144,FUNC,LOCAL,2
SLUS_204.69,printfloat,0x201f60,360,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x202728,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x202728,0,NOTYPE,LOCAL,2
SLUS_204.69,_cmd_init_check,0x4aa2b0,4,OBJECT,LOCAL,5
SLUS_204.69,_set_sreg,0x202728,28,FUNC,LOCAL,2
SLUS_204.69,_change_addr,0x202748,12,FUNC,LOCAL,2
SLUS_204.69,soft_reg,0x991a00,0,NOTYPE,LOCAL,14
SLUS_204.69,_data_table,0x9918d8,0,NOTYPE,LOCAL,14
SLUS_204.69,_pckt_buffer,0x991800,0,NOTYPE,LOCAL,14
SLUS_204.69,_send_buffer,0x991880,0,NOTYPE,LOCAL,14
SLUS_204.69,_sys_buffer,0x991900,0,NOTYPE,LOCAL,14
SLUS_204.69,_csdata,0x9918c0,0,NOTYPE,LOCAL,14
SLUS_204.69,_sceSifCmdIntrHdlr,0x202c98,296,FUNC,LOCAL,2
SLUS_204.69,sif0_handleid,0x9918d4,0,NOTYPE,LOCAL,14
SLUS_204.69,_sceSifSendCmd,0x202ae0,308,FUNC,LOCAL,2
SLUS_204.69,last,0x202e64,0,NOTYPE,LOCAL,2
SLUS_204.69,eight,0x202e10,0,NOTYPE,LOCAL,2
SLUS_204.69,loop1,0x202df4,0,NOTYPE,LOCAL,2
SLUS_204.69,loop8,0x202e14,0,NOTYPE,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x202e70,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x202e70,0,NOTYPE,LOCAL,2
SLUS_204.69,_sceSifInitCheck,0x4aa2b4,4,OBJECT,LOCAL,5
SLUS_204.69,_packet_buffer,0x991a80,0,NOTYPE,LOCAL,14
SLUS_204.69,_data_table,0x993280,0,NOTYPE,LOCAL,14
SLUS_204.69,_free_buffer,0x992280,0,NOTYPE,LOCAL,14
SLUS_204.69,_free_buffer2,0x992a80,0,NOTYPE,LOCAL,14
SLUS_204.69,_request_end,0x203170,180,FUNC,LOCAL,2
SLUS_204.69,_request_bind,0x203430,176,FUNC,LOCAL,2
SLUS_204.69,_request_call,0x203620,140,FUNC,LOCAL,2
SLUS_204.69,_request_rdata,0x203228,96,FUNC,LOCAL,2
SLUS_204.69,_sceRpcGetPacket,0x203038,168,FUNC,LOCAL,2
SLUS_204.69,_sceRpcFreePacket,0x2030e0,28,FUNC,LOCAL,2
SLUS_204.69,_sceRpcGetFPacket,0x203100,48,FUNC,LOCAL,2
SLUS_204.69,_sceRpcGetFPacket2,0x203130,64,FUNC,LOCAL,2
SLUS_204.69,_search_svdata,0x2033e0,76,FUNC,LOCAL,2
SLUS_204.69,gcc2_compiled.,0x203dd0,0,NOTYPE,LOCAL,2
SLUS_204.69,__gnu_compiled_c,0x203dd0,0,NOTYPE,LOCAL,2
SLUS_204.69,_fs_init,0x4aa338,4,OBJECT,LOCAL,5
SLUS_204.69,_fs_semid,0x4aa33c,4,OBJECT,LOCAL,5
SLUS_204.69,_fs_iob_semid,0x4aa340,4,OBJECT,LOCAL,5
SLUS_204.69,_fs_fsq_semid,0x4aa344,4,OBJECT,LOCAL,5
SLUS_204.69,_sceFsIobSemaMK,0x203dd0,92,FUNC,LOCAL,2
SLUS_204.69,new_iob,0x203e30,136,FUNC,LOCAL,2
SLUS_204.69,_iob,0x9943c0,0,NOTYPE,LOCAL,14
SLUS_204.69,get_iob,0x203eb8,108,FUNC,LOCAL,2
SLUS_204.69,_sceFs_Rcv_Intr,0x203f28,960,FUNC,LOCAL,2
SLUS_204.69,_rcv_data_cmd,0x993f80,0,NOTYPE,LOCAL,14
SLUS_204.69,_sceFsSemInit,0x2042e8,76,FUNC,LOCAL,2
SLUS_204.69,_sceFsWaitS,0x204338,44,FUNC,LOCAL,2
SLUS_204.69,_sceFsSigSema,0x204368,12,FUNC,LOCAL,2
SLUS_204.69,_sif_FsPoff_Data,0x994640,0,NOTYPE,LOCAL,14
SLUS_204.69,_sceFs_Poff_Intr,0x204408,44,FUNC,LOCAL,2
SLUS_204.69,rcv_adr.30,0x9932c0,0,NOTYPE,LOCAL,14
